Variable,Coefficient
owned,0.04791471
multifamily,-0.00687588
singlefamily,0.00016383
earthquake,-0.30624542
fire,0.32376349
flood,-0.38230247
hurricane,-0.23639272
mudslide,-0.3980341
other,-0.39919145
tornado,-0.06374524
typhoon,-0.01201555
sewage_1,-0.00482365
minor10_0_1,0.05920039
minor10_1_1,0.02127849
minor10_2_1,0.02581883
major20_0_1,0.2773316
major20_1_1,0.21855706
major20_2_1,0.23780055
major30_0_1,0.45514878
major30_1_1,0.00631593
major30_2_1,0.48552137
major30_3_1,0.43949407
major40_0_1,0.18802363
major40_1_1,0.26746038
major40_2_1,0.36802894
major50_0_1,0.06233448
major50_1_1,0.13216615
major50_2_1,0.2340001
major60_0_1,0.1811367
major60_1_1,0.27717996
major74_0_1,0.20334874
major74_1_1,0.31155468
major74_2_1,-0.02387981
destroyed80_0_1,0.0619982
destroyed80_1_1,0.17852321
destroyed80_2_1,0.17822593
destroyed80_3_1,0.33578781
destroyed80_4_1,0.16123617
destroyed90_0_1,0.2576796
destroyed90_1_1,0.28987716
destroyed100_0_1,1.1437304
destroyed100_1_1,0.23262913
water_damage_1,-0.06369503
water_mobilehome_1,-0.0288157
water_mobilehome_major_plywood_1,1.3780827
water_mobilehome_major_nonplyw_1,1.3939792
water_mobilehome_destroyed_1,-0.10428523
water_conventionalhome_major_1,1.3460485
water_conventionalhome_destroy_1,-0.16398237
predisaster_value,-4.35E-06
Constant,-2.9829813
